S,E,I,Q_E,Q_I,R,F
178085006.8130496,46390.71497218986,38638.004470514636,7182.467890170685,44821.880000179226,30253.313281811086,3596.9935675193187
196521528.7062418,46421.29387012104,39068.35676882052,7046.3117886725995,44440.211847339604,31061.066685602556,3669.8737207660524
216828962.29390198,46461.89198891378,39494.32311221064,6912.8701426600555,44060.48794902246,31868.575023210728,3742.794749924911
239171301.34481886,46512.22003583058,39916.12866533971,6782.090982362371,43682.73518749026,32675.819996890597,3815.755028508693
263748845.22160986,46571.995803080994,40333.993624534436,6653.923174461217,43306.97946668502,33482.78485877057,3888.7530659225704
290798198.88072205,46640.944167821704,40748.133217793526,6528.316422090618,42933.24571222831,34289.45441085249,3961.787507464089
320592272.8724308,46718.79709215649,41158.757704787655,6405.221264836959,42561.55787142126,35095.81500501162,4034.8571343231633
353440283.34084094,46805.29362313624,41566.07237685952,6284.58907873897,42191.93891324456,35901.85454299663,4107.960863582086
389687752.0238867,46900.17989275896,41970.277557023786,6166.372076287742,41824.41082835844,36707.56247642966,4181.097748215519
429716506.25333,47003.20911796973,42371.568599967126,6050.5233064267195,41458.994629102715,37512.9298068062,4254.266977090496
473944678.9547633,47114.14160066077,42770.1358920482,5936.996654551701,41095.71034949673,38317.949085495224,4327.467874966425
522826708.6476075,47232.74472767137,43166.16485129766,5825.746842510838,40734.57704523939,39122.61441373912,4400.69990249509
576853339.4451118,47358.79297078795,43559.835927418135,5716.729428604641,40375.61279370917,39926.92144265366,4473.96265622064
636551621.0543559,47492.06788674404,43951.32460178428,5609.900807585968,40018.83469396409,40730.86737322809,4547.255868579605
702484908.7762465,47632.35811722024,44340.80138744271,5505.21821066004,39664.25886674172,41534.45095632503,4620.579407900878
775252863.5055215,47779.45938884429,44728.43182911206,5402.639705484426,39311.9004544592,42337.67249268058,4693.933278405735
855491451.7307469,47933.17451319102,45114.376503182924,5302.124196169049,38961.77362121322,43140.533832904206,4767.3176202078175
943872945.5343165,48093.31338678238,45498.79101771791,5203.631423276195,38613.89155278003,43943.038377478835,4840.732709313143
1041406947.6477507,48259.699673747724,45881.821589759216,5107.121596983536,38268.266921612856,44745.19220491322,4914.179053480552
1149289321.2294106,48432.189492148595,46263.592031176755,5012.555850798103,37924.910981620065,45547.00794434147,4987.657722290413
1268169494.9879754,48610.645853200454,46644.220925426605,4919.89707442511,37583.8326346051,46348.500195645094,5061.169957588894
1398910057.1066153,48794.93483360318,47023.82476178548,4829.108762748263,37245.040190362226,47149.68422889144,5134.71706204451
1542605957.436751,48984.925729479866,47402.51784141004,4740.154989347639,36908.54140424459,47950.57600162603,5208.300400605119
1700584507.4980614,49180.491056376755,47780.412277336945,4653.000406499679,36574.34347716424,48751.19215887255,5281.921400497923
1874405380.4784741,49381.50654926331,48157.61799448283,4567.610245177197,36242.4530555921,49551.550033132815,5355.581551229472
2065860611.2341738,49587.85116253218,48534.242729644335,4483.950315049367,35912.87623155799,50351.667644386805,5429.2824045856605
2276974596.289601,49799.4070699992,48910.39203149805,4401.987004481736,35585.61854265063,51151.56370009267,5503.025574631726
2510004093.8374424,50016.0596649034,49286.16926060057,4321.687280536219,35260.68497201762,51951.2575951867,5576.812737712253
2767438223.738644,50237.697559907,49661.67558938845,4243.018688971095,34938.079948365455,52750.76941208332,5650.645632451168
3051998467.522409,50464.21258709542,50037.01000217825,4165.949354241011,34617.807345959525,53550.11992067516,5724.526059751748
3366638668.3861833,50695.49979797725,50412.2692951665,4090.447979496986,34299.870484624116,54349.33057833296,5798.45588279661
3714545031.195675,50931.4574634843,50787.54807642971,4016.4838465864023,33984.272129742385,55148.42352990563,5872.437027047718
4099136122.4848475,51171.98707397155,51162.93876592439,3944.0268160530086,33671.01449225641,55947.42160772024,5946.471480246382
4524062870.455908,51416.99333921717,51538.531595487,3873.0473271369265,33360.09922866712,56746.348331582,6020.561292413253
4993208564.979331,51666.38418842255,51914.41460883402,3803.5163977746406,33051.52744103437,57545.22790877429,6094.708575848334
5510688857.593827,51920.07077021222,52290.673661561865,3735.405624599006,32745.2996769769,58344.08523405863,6168.915505130965
6080851761.506377,52177.96745263396,52667.392421146986,3668.687182939242,32441.415929672334,59142.9458896747,6243.184317119837
6708573804.838853,52439.99240821657,53044.65195420387,3603.3337961851194,32139.8756686801,59941.836259893884,6317.5173206905165
7403421110.298483,52706.08254056097,53422.52013085654,3539.3184368432962,31840.677973637663,60740.78657408064,6391.917155712665
8170741583.083603,52976.18308146985,53801.05889164657,3476.6154093468144,31543.82025566603,61539.82900893509,6466.386632072991
9015195611.667246,53250.2384937338,54180.33081960625,3415.1996942842493,31249.299305477445,62338.995630602294,6540.928554033773
9943086564.088152,53528.19471530913,54560.39757984973,3355.0466630984943,30957.11163820193,63138.3187926948,6615.545753960823
10962360787.950745,53809.99915931782,54941.319919573034,3296.13207808676,30667.253493387296,63937.8311362926,6690.241092323482
12082607610.425095,54095.600714047476,55323.15766805406,3238.43209240058,30379.72083499914,64737.56558994315,6765.017457694616
13315059338.24701,54384.949742951416,55705.9697366526,3181.923250045803,30094.509351420835,65537.5553696614,6839.877766750623
14672591257.71797,54677.99808464862,56089.814118810296,3126.582485882596,29811.61445545354,66337.83397892972,6914.824964271434
16169721634.705072,54974.699052923715,56474.74789005066,3072.3871256254492,29531.031284316206,67138.43520869793,6989.862023140501
17822611714.641174,55275.00743672701,56860.827207979106,3019.314885843168,29252.754699645564,67939.39313738339,7064.9919443448125
19649065722.524773,55578.87950017451,57248.107312282904,2967.3438739588782,28976.77928749612,68740.74213087086,7140.217756974882
21668530862.92009,55886.27298254784,57636.642524731215,2916.4525882500225,28703.099358340176,69542.51684251257,7215.5425182247545
