,date,state,positive,death
321,2020-12-08,ET,114266,1766
322,2020-12-09,ET,114834,1769
323,2020-12-10,ET,115360,1779
324,2020-12-11,ET,115782,1791
325,2020-12-12,ET,116297,1803
326,2020-12-13,ET,116769,1806
327,2020-12-14,ET,117242,1809
328,2020-12-15,ET,117542,1813
329,2020-12-16,ET,118006,1818
330,2020-12-17,ET,118481,1831
331,2020-12-18,ET,119025,1843
332,2020-12-19,ET,119494,1846
333,2020-12-20,ET,119951,1853
334,2020-12-21,ET,120348,1861
335,2020-12-22,ET,120638,1864
336,2020-12-23,ET,120989,1870
337,2020-12-24,ET,121399,1882
338,2020-12-25,ET,121880,1897
339,2020-12-26,ET,122413,1901
340,2020-12-27,ET,122864,1909
341,2020-12-28,ET,123145,1912
342,2020-12-29,ET,123388,1913
343,2020-12-30,ET,123856,1918
344,2020-12-31,ET,124264,1923
345,2021-01-01,ET,124652,1937
346,2021-01-02,ET,125049,1944
347,2021-01-03,ET,125622,1948
348,2021-01-04,ET,125919,1950
349,2021-01-05,ET,126241,1963
350,2021-01-06,ET,126786,1965
351,2021-01-07,ET,127227,1966
352,2021-01-08,ET,127572,1974
353,2021-01-09,ET,127792,1985
354,2021-01-10,ET,128316,1994
355,2021-01-11,ET,128616,2003
356,2021-01-12,ET,128992,2004
357,2021-01-13,ET,129455,2006
358,2021-01-14,ET,129922,2008
359,2021-01-15,ET,130326,2023
360,2021-01-16,ET,130772,2029
361,2021-01-17,ET,131195,2030
362,2021-01-18,ET,131546,2033
363,2021-01-19,ET,131727,2037
364,2021-01-20,ET,132034,2044
365,2021-01-21,ET,132326,2057
366,2021-01-22,ET,132881,2060
367,2021-01-23,ET,133298,2063
368,2021-01-24,ET,133767,2066
369,2021-01-25,ET,134132,2071
370,2021-01-26,ET,134569,2075
371,2021-01-27,ET,135045,2083
372,2021-01-28,ET,135594,2085
373,2021-01-29,ET,136365,2087
374,2021-01-30,ET,137021,2091
375,2021-01-31,ET,137650,2093
376,2021-02-01,ET,138384,2103
377,2021-02-02,ET,138861,2116
378,2021-02-03,ET,139408,2122
379,2021-02-08,ET,142994,2156
380,2021-02-07,ET,142338,2148
381,2021-02-06,ET,141453,2145
382,2021-02-05,ET,140883,2136
383,2021-02-04,ET,140157,2126
