,date,state,positive,death
292,2020-11-09,OR,51155.0,734
293,2020-11-10,OR,51909.0,737
294,2020-11-11,OR,52770.0,742
295,2020-11-12,OR,53879.0,746
296,2020-11-13,OR,54937.0,753
297,2020-11-14,OR,56018.0,759
298,2020-11-15,OR,56880.0,761
299,2020-11-16,OR,57646.0,765
300,2020-11-17,OR,58570.0,778
301,2020-11-18,OR,59669.0,788
302,2020-11-19,OR,60873.0,808
303,2020-11-20,OR,62175.0,812
304,2020-11-21,OR,63668.0,819
305,2020-11-22,OR,65170.0,820
306,2020-11-23,OR,66333.0,826
307,2020-11-24,OR,67333.0,847
308,2020-11-25,OR,68503.0,867
309,2020-11-26,OR,68503.0,867
310,2020-11-27,OR,70832.0,885
311,2020-11-28,OR,72506.0,896
312,2020-11-29,OR,74119.0,905
313,2020-11-30,OR,75431.0,912
314,2020-12-01,OR,76654.0,936
315,2020-12-02,OR,78160.0,953
316,2020-12-03,OR,79293.0,973
317,2020-12-04,OR,81437.0,1003
318,2020-12-05,OR,83243.0,1027
319,2020-12-06,OR,84496.0,1033
320,2020-12-07,OR,85788.0,1045
321,2020-12-08,OR,87082.0,1080
322,2020-12-09,OR,88287.0,1110
323,2020-12-10,OR,89838.0,1123
324,2020-12-11,OR,91420.0,1138
325,2020-12-12,OR,92839.0,1150
326,2020-12-13,OR,93853.0,1155
327,2020-12-14,OR,95010.0,1161
328,2020-12-15,OR,96092.0,1213
329,2020-12-16,OR,97622.0,1262
330,2020-12-17,OR,98936.0,1283
331,2020-12-18,OR,100308.0,1304
332,2020-12-19,OR,101814.0,1340
333,2020-12-20,OR,102930.0,1341
334,2020-12-21,OR,103755.0,1347
335,2020-12-22,OR,105073.0,1382
336,2020-12-23,OR,105970.0,1403
337,2020-12-24,OR,106821.0,1415
338,2020-12-25,OR,106821.0,1415
339,2020-12-26,OR,108326.0,1422
340,2020-12-27,OR,109725.0,1427
341,2020-12-28,OR,110545.0,1433
342,2020-12-29,OR,111227.0,1449
343,2020-12-30,OR,112260.0,1468
344,2020-12-31,OR,113909.0,1477
345,2021-01-01,OR,113909.0,1477
346,2021-01-02,OR,116348.0,1492
347,2021-01-03,OR,117745.0,1500
348,2021-01-04,OR,118453.0,1506
349,2021-01-05,OR,119488.0,1550
350,2021-01-06,OR,120223.0,1558
351,2021-01-07,OR,121085.0,1568
352,2021-01-08,OR,122847.0,1575
353,2021-01-09,OR,124476.0,1603
354,2021-01-10,OR,125683.0,1604
355,2021-01-11,OR,126607.0,1613
356,2021-01-12,OR,127780.0,1667
357,2021-01-13,OR,129109.0,1708
358,2021-01-14,OR,130246.0,1737
359,2021-01-15,OR,131258.0,1758
360,2021-01-16,OR,132412.0,1799
361,2021-01-17,OR,133205.0,1800
362,2021-01-18,OR,133851.0,1803
363,2021-01-19,OR,134468.0,1808
364,2021-01-20,OR,135142.0,1832
365,2021-01-21,OR,135973.0,1843
366,2021-01-22,OR,136839.0,1865
367,2021-01-23,OR,137600.0,1877
368,2021-01-24,OR,138168.0,1880
369,2021-01-25,OR,138587.0,1882
370,2021-01-26,OR,139355.0,1904
371,2021-01-27,OR,140063.0,1924
372,2021-01-28,OR,140783.0,1930
373,2021-01-29,OR,141729.0,1938
374,2021-01-30,OR,142416.0,1957
375,2021-01-31,OR,142416.0,1957
376,2021-02-01,OR,143373.0,1958
377,2021-02-02,OR,143978.0,1981
378,2021-02-03,OR,144605.0,1991
379,2021-02-04,OR,145320.0,1998
380,2021-02-05,OR,146137.0,2002
381,2021-02-06,OR,146741.0,2020
382,2021-02-07,OR,147122.0,2023
383,2021-02-08,OR,147419.0,2024
